2023-05-01 15:27:13.635794 - TEMP : 27.0*C | HUMID = 15.0%
2023-05-01 15:27:15.161846 - TEMP : 27.0*C | HUMID = 15.0%
2023-05-01 15:27:16.687464 - TEMP : 27.0*C | HUMID = 16.0%
2023-05-01 15:27:18.212948 - TEMP : 27.0*C | HUMID = 17.0%
2023-05-01 15:27:19.739553 - TEMP : 27.0*C | HUMID = 17.0%
2023-05-01 15:27:21.266118 - TEMP : 27.0*C | HUMID = 18.0%
2023-05-01 15:27:22.792667 - TEMP : 27.0*C | HUMID = 18.0%
2023-05-01 15:28:15.847949 - TEMP : 27.0*C | HUMID = 18.0%
2023-05-01 15:28:17.373616 - TEMP : 27.0*C | HUMID = 18.0%
2023-05-01 15:28:18.899102 - TEMP : 27.0*C | HUMID = 17.0%
2023-05-01 15:29:50.259698 - TEMP : 27.0*C | HUMID = 16.0%
2023-05-01 15:29:51.785418 - TEMP : 27.0*C | HUMID = 16.0%
2023-05-01 15:29:53.310928 - TEMP : 27.0*C | HUMID = 16.0%
2023-05-01 15:29:54.836656 - TEMP : 27.0*C | HUMID = 17.0%
2023-05-01 15:29:56.363118 - TEMP : 27.0*C | HUMID = 18.0%
2023-05-01 15:29:57.889778 - TEMP : 27.0*C | HUMID = 28.0%
